Rank Tertinggi,score,Koleksi,Jumlah Skin,score_kolektor,Winrate keseluruhan,score,total match,score, Harga ,
Epic IV,1,Kolektor Terhormat III ,429,28,48.95,1,1101,1," Rp900,000.00 ",
Mythic (7 Bintang),3,Kolektor Terhormat II ,340,27,62.12,4,3060,3," Rp1,100,000.00 ",
Mythic (12 Bintang),3,Kolektor Juragan I ,581,31,68.8,5,2215,2," Rp3,500,000.00 ",
Mythic (5 Bintang),3,Kolektor Juragan V ,423,35,56.1,3,11467,5," Rp1,850,000.00 ",
Legend III,2,Kolektor Terhormat II ,451,27,57.29,3,1013,1," Rp1,150,000.00 ",
Mythic (10 Bintang),3,Kolektor Terhormat I ,425,26,55.1,3,11762,5," Rp1,250,000.00 ",
Legend I,2,Kolektor Juragan III ,584,33,55.82,3,1616,2," Rp2,400,000.00 ",
Legend IV,2,Kolektor Terhormat III ,377,28,64.36,4,1031,1," Rp700,000.00 ",
Mythic (13 Bintang),3,Kolektor Terhormat IV ,387,29,47.93,1,2814,2," Rp1,700,000.00 ",
Epic V,1,Kolektor Sultan ,635,36,45,1,720,1," Rp5,000,000.00 ",
Epic I,1,Kolektor juragan I ,569,0,46.65,1,3859,3," Rp3,200,000.00 ",
Epic IV,1,Kolektor Juragan IV ,519,34,62.98,4,2719,2," Rp2,200,000.00 ",
Mythic (2 Bintang),3,Kolektor Ternama I ,303,21,52.44,2,3424,3," Rp650,000.00 ",
Legend I,2,Kolektor Ternama I ,242,21,64.09,4,3577,3," Rp650,000.00 ",
Epic I,1,Kolektor Juragan II ,610,32,45,1,1622,2," Rp3,500,000.00 ",
Legend III,2,Kolektor Terhormat I ,497,26,64.17,4,4700,3," Rp1,100,000.00 ",
Legend II,2,Kolektor Juragan II ,583,32,53.14,2,3747,3,,
Epic I,1,Kolektor Ternama II ,195,22,59.69,3,2058,2," Rp650,000.00 ",
Epic I,1,Kolektor Ternama I ,311,21,49.35,1,4801,3," Rp500,000.00 ",
Mythic (12 Bintang),3,Kolektor Ternama II ,173,22,47.83,1,11270,5," Rp1,500,000.00 ",
Mythical Glory (82 Bintang),5,Kolektor Sultan ,622,36,59.04,3,1151,1," Rp5,450,000.00 ",
Mythical Glory (99 Bintang),5,Kolektor Ternama III ,203,23,59.18,3,2737,2," Rp700,000.00 ",
Mythical Honor (36 Bintang),4,Kolektor Juragan V ,435,35,59.43,3,1383,1," Rp2,000,000.00 ",
Legend IV,2,Kolektor Sultan ,639,36,54.63,2,2666,2," Rp5,000,000.00 ",
Mythic (3 Bintang),3,Kolektor Juragan V ,531,35,45,1,6001,4," Rp2,300,000.00 ",
Legend I,2,Kolektor Ternama III ,214,23,45,1,2730,2," Rp400,000.00 ",
Legend II,2,Kolektor Ternama III ,204,23,60.29,4,2641,2," Rp750,000.00 ",
Legend I,2,Kolektor Ternama IV ,194,24,47.7,1,894,1," Rp550,000.00 ",
Mythic (1 Bintang),3,Kolektor Juragan V ,531,35,62.06,4,2170,2," Rp2,300,000.00 ",
Epic V,1,Kolektor Ternama V ,215,25,64.46,4,2138,2," Rp700,000.00 ",
